,date_added
0,"August 14, 2020"
1,"December 23, 2016"
2,"December 20, 2018"
3,"November 16, 2017"
4,"January 1, 2020"
5,"July 1, 2017"
6,"June 1, 2020"
7,"November 1, 2019"
8,"April 1, 2019"
9,"December 15, 2017"
10,"October 20, 2017"
11,"November 30, 2018"
12,"May 17, 2019"
13,"March 1, 2019"
14,"March 19, 2020"
15,"September 1, 2019"
16,"March 20, 2019"
17,"October 10, 2018"
18,"March 29, 2019"
19,"May 16, 2018"
20,"September 1, 2018"
21,"September 15, 2018"
22,"September 15, 2018"
23,"September 15, 2018"
24,"January 23, 2020"
25,"June 30, 2016"
26,"August 12, 2020"
27,"September 8, 2020"
28,"July 1, 2020"
29,"April 17, 2020"
30,"February 5, 2020"
31,"May 21, 2020"
32,"June 28, 2020"
33,"September 8, 2017"
34,"April 10, 2019"
35,"December 1, 2016"
36,"June 1, 2019"
37,"June 1, 2019"
38,"March 30, 2019"
39,"July 19, 2019"
40,"March 10, 2017"
41,"March 27, 2018"
42,"March 10, 2017"
43,"October 2, 2020"
44,"February 1, 2018"
45,"January 17, 2017"
46,"July 1, 2017"
47,"July 7, 2017"
48,"October 18, 2019"
49,"July 1, 2017"
50,"June 1, 2019"
51,"December 7, 2020"
52,"July 6, 2018"
53,"March 13, 2020"
54,"March 10, 2017"
55,"November 2, 2019"
56,"March 20, 2018"
57,"January 7, 2021"
58,"November 1, 2019"
59,"December 1, 2016"
60,"March 14, 2019"
61,"May 22, 2017"
62,"August 13, 2016"
63,"June 5, 2020"
64,"August 23, 2019"
65,"January 13, 2019"
66,"October 7, 2016"
67,"January 26, 2017"
68,"April 3, 2019"
69,"October 27, 2018"
70,"February 1, 2019"
71,"November 1, 2019"
72,"January 1, 2021"
73,"May 8, 2020"
74,"June 2, 2017"
75,"August 23, 2020"
76,"July 26, 2019"
77,"June 1, 2020"
78,"August 4, 2018"
79,"September 22, 2018"
80,"August 15, 2017"
81,"April 28, 2017"
82,"December 20, 2018"
83,"June 28, 2019"
84,"April 16, 2019"
85,"July 1, 2020"
86,"December 1, 2018"
87,"March 1, 2018"
88,"March 1, 2018"
89,"April 7, 2018"
90,"October 1, 2018"
91,"October 1, 2017"
92,"May 1, 2018"
93,"May 1, 2018"
94,"September 30, 2020"
95,"June 10, 2017"
96,"December 1, 2020"
97,"December 31, 2019"
98,"August 28, 2017"
99,"January 5, 2019"
100,"August 1, 2019"
101,"June 15, 2019"
102,"December 15, 2016"
103,"April 18, 2019"
104,"January 1, 2021"
105,"October 1, 2019"
106,"June 7, 2020"
107,"January 31, 2020"
108,"July 12, 2019"
109,"November 20, 2020"
110,"February 1, 2018"
111,"October 1, 2020"
112,"August 16, 2019"
113,"December 20, 2017"
114,"July 12, 2019"
115,"May 5, 2016"
116,"June 13, 2020"
117,"January 5, 2019"
118,"March 17, 2019"
119,"December 7, 2018"
120,"March 16, 2017"
121,"December 1, 2020"
122,"June 1, 2019"
123,"September 28, 2018"
124,"April 27, 2020"
125,"April 6, 2018"
126,"February 8, 2018"
127,"December 13, 2019"
128,"September 8, 2015"
129,"November 1, 2017"
130,"November 1, 2020"
131,"September 1, 2019"
132,"July 30, 2019"
133,"October 27, 2016"
134,"December 21, 2018"
135,"May 15, 2019"
136,"August 2, 2018"
137,"June 1, 2016"
138,"August 10, 2018"
139,"December 22, 2017"
140,"June 1, 2016"
141,"March 26, 2020"
142,"March 1, 2017"
143,"August 13, 2019"
144,"March 5, 2020"
145,"July 1, 2017"
146,"October 28, 2019"
