,country
0,Brazil
1,Mexico
2,Singapore
3,United States
5,Turkey
6,Egypt
8,India
11,"Poland, United States"
13,Thailand
15,Nigeria
16,
17,"Norway, Iceland, United States"
19,United Kingdom
24,Japan
27,South Korea
28,Italy
30,Canada
31,Indonesia
36,Romania
39,Spain
41,Iceland
48,"South Africa, Nigeria"
49,France
50,"United States, South Africa"
54,"Portugal, Spain"
68,"Hong Kong, China, Singapore"
71,"United States, Germany"
89,"South Africa, China, United States"
92,Argentina
96,"United States, France, Serbia"
102,Germany
105,"Denmark, France, Poland"
106,Poland
109,Kenya
126,"New Zealand, United Kingdom"
135,Pakistan
137,Australia
139,"Australia, United States"
146,"Mexico, United States"
148,"United States, China"
149,"China, Hong Kong"
152,Taiwan
153,"United States, United Kingdom"
162,"France, South Korea, Japan"
163,"United States, Canada"
165,"United Kingdom, United States"
169,"Netherlands, Denmark, South Africa"
170,"Canada, United States"
173,Denmark
187,Hong Kong
192,"France, Netherlands, Singapore"
198,China
201,Philippines
205,"United Kingdom, Spain, United States"
206,"United Arab Emirates, United States"
211,Netherlands
216,"United Kingdom, Hong Kong"
224,"Iran, France"
226,"United States, United Kingdom, France"
227,"United Kingdom, France, Belgium, United States, China"
230,"Argentina, Brazil, France, Poland, Germany, Denmark"
236,"Israel, United States"
237,"United States, Mexico"
245,"Uruguay, Argentina, Spain"
257,"Singapore, France"
286,"United Kingdom, United States, France, Germany"
299,"Turkey, United States"
301,"Bulgaria, United States"
313,"Australia, France"
314,"Hong Kong, Iceland, United States"
318,United Arab Emirates
332,"United States, Chile"
338,"Germany, France, Russia"
339,"Mauritius, South Africa"
351,"United States, Japan"
367,Lebanon
374,"United States, Bulgaria"
375,Colombia
377,"Uruguay, Argentina"
381,"Egypt, Algeria"
382,"France, Egypt"
383,Uruguay
391,"Soviet Union, India"
401,"Sweden, United States"
402,South Africa
406,Malaysia
408,"Ireland, United Kingdom, United States"
410,"Spain, Italy"
429,"United Kingdom, France, Germany"
431,"United States, Germany, Canada"
433,"United States, India"
438,"Japan, United States"
442,"Denmark, United States"
443,"South Africa, United States"
465,"Canada, Luxembourg"
496,"Serbia, United States"
503,"Canada, Nigeria"
505,"Iceland, Sweden, Belgium"
519,"Ireland, Canada"
521,"United States, Italy"
523,Finland
524,"India, Germany"
528,"China, Spain, South Korea, United States"
530,"Spain, Belgium"
541,"United Kingdom, Canada, United States, Germany"
542,"Brazil, Netherlands, United States, Colombia, Austria, Germany"
564,"France, Canada, Belgium"
571,"India, United Kingdom, China, Canada, Japan, South Korea, United States"
572,"France, Belgium"
590,"Indonesia, South Korea, Singapore"
601,Norway
604,Peru
612,"France, Senegal, Belgium"
615,"Canada, France"
618,Chile
622,"Romania, France, Switzerland, Germany"
629,"Bulgaria, United States, Spain, Canada"
636,"Sweden, Netherlands"
646,Ghana
666,"France, United States, Mexico"
684,"Australia, United Kingdom, United Arab Emirates, Canada"
695,"Singapore, United States"
705,"Japan, Canada, United States"
730,Saudi Arabia
732,"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay"
758,"United States, France"
765,"Norway, Denmark, Netherlands, Sweden"
771,Namibia
772,"Mexico, Finland"
775,"United States, Australia"
779,Russia
786,"Australia, Canada"
801,"United Kingdom, Ireland"
823,"Belgium, France"
824,New Zealand
826,"Uruguay, Spain, Mexico"
850,"South Korea, China"
875,"United States, Canada, Indonesia, United Kingdom, China, Singapore"
878,"India, Iran"
899,"United States, France, Japan"
927,"United Kingdom, France"
933,"Turkey, India"
936,"Philippines, Qatar"
939,Vietnam
945,"Ireland, Luxembourg, Belgium"
948,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait"
960,"Russia, United States"
961,"United Kingdom, Russia, United States"
964,"Argentina, Spain"
977,"Germany, Jordan, Netherlands"
979,"Hong Kong, China"
990,"Argentina, United States"
996,"France, Belgium, Spain"
1002,"Germany, United States"
1014,"Denmark, Sweden, Israel, United States"
1020,"Ireland, United Kingdom"
1027,"United States, Iceland"
1032,"United Arab Emirates, United Kingdom, India"
1042,Sweden
1049,"Norway, Germany, Sweden"
1050,"Finland, France"
1055,"Denmark, Spain"
1058,"United Kingdom, Russia"
1062,"United States, United Kingdom, Australia"
1072,"India, United Kingdom"
1074,"United States, Canada, Ireland"
1078,"Canada, United Kingdom"
1079,"United States, Israel, Italy, South Africa"
1117,"India, United States"
1125,"United Kingdom, China"
1130,"Indonesia, Singapore"
1131,"Netherlands, Denmark, France, Germany"
1145,"South Korea, Japan"
1154,"Philippines, Canada, United Kingdom, United States"
1155,"France, Malta, United States"
1156,Kuwait
1170,"United Kingdom, Pakistan"
1193,Ireland
1204,"France, New Zealand"
1224,"United Kingdom, United States, Australia"
1234,"United Kingdom, Czech Republic, United States, Germany, Bahamas"
1237,"United States, Australia, China"
1244,"China, Germany, India, United States"
1272,"Germany, Sri Lanka"
1275,"United States, Sweden"
1285,"Canada, United States, Cayman Islands"
1295,"India, France"
1341,"United Kingdom, Canada"
1343,"United States, India, Bangladesh"
1345,"United States, Canada, France"
1398,"Taiwan, China, France, United States"
1400,"Brazil, France, Germany"
1402,"United States,"
1405,"Turkey, France, Germany, Poland"
1415,"Australia, New Zealand, United States"
1424,"Germany, United States, Hong Kong, Singapore"
1425,"France, Germany, Switzerland"
1429,"Mexico, Argentina"
1451,"Italy, United States, Argentina"
1464,"Germany, France, Luxembourg, United Kingdom, United States"
1468,"Canada, United States, United Kingdom"
1478,"United Kingdom, Canada, Italy"
1480,"Czech Republic, France"
1493,Zimbabwe
1541,"United Kingdom, France, Germany, Spain"
1546,"Taiwan, Hong Kong, United States, China"
1547,"China, United States"
1553,"Canada, Brazil"
1555,"United Kingdom, Australia"
1556,Hungary
1588,"Germany, Australia"
1612,"United Kingdom, Poland, United States"
1642,Bulgaria
1651,"Philippines, United States"
1658,"Finland, Germany"
1673,"United States, Thailand"
1679,"Spain, Belgium, Switzerland, United States, China, United Kingdom"
1698,"Denmark, Zimbabwe"
1722,"United Kingdom, South Africa"
1726,"Finland, Sweden, Norway, Latvia, Germany"
1733,"United Kingdom, India"
1783,"South Africa, United States, New Zealand, Canada"
1785,"France, Qatar"
1788,"France, Algeria"
1793,"United States, Italy, United Kingdom, Liechtenstein"
1806,"Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom"
1811,"United States, Australia, Mexico"
1824,"United Kingdom, Czech Republic, Germany, United States"
1837,"Russia, Poland, Serbia"
1842,"France, China, Japan, United States"
1861,"United States, South Korea, China"
1874,"Germany, Belgium"
1885,"Chile, Argentina"
1888,"China, United States, United Kingdom"
1891,"Pakistan, Norway, United States"
1908,"United Kingdom, Japan, United States"
1929,"Philippines, Singapore"
1942,"United States, Canada, Belgium, United Kingdom"
1950,Venezuela
1960,"Argentina, Uruguay, Serbia"
1963,"United States, Mexico, Colombia"
1966,"Colombia, Peru, United Kingdom"
1971,"Brazil, United States"
1995,"Czech Republic, United States"
1996,"Canada, France, Italy, Morocco, United States"
2004,"Canada, Spain, France"
2013,"Hong Kong, United States"
2014,"France, Canada, China, Cambodia"
2016,"United States, Indonesia"
2023,"Spain, France"
2041,"Spain, Mexico, France"
